_sa_instance_state, experimental_condition, timestamp_start, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fac70>","condition6","2023-08-07 09:04:48.051356","67582773021",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fad30>","condition4","2023-08-07 09:04:46.551375","58774445974",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fadf0>","condition5","2023-08-07 09:05:35.384491","79881960861",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10faeb0>","condition2","2023-08-07 09:05:54.419190","95178086718",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10faf70>","condition6","2023-08-07 09:06:00.111366","40674782069",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ff070>","condition3","2023-08-07 09:06:07.195298","85597983908",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ff130>","condition1","2023-08-07 09:06:41.591318","34097030309",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ff1f0>","condition3","2023-08-07 09:07:02.680664","84951980698",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ff2b0>","condition2","2023-08-07 09:07:25.890863","80167065388",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ff370>","condition3","2023-08-07 09:07:37.864407","39207028471",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ff430>","condition6","2023-08-07 09:08:36.349489","87931643151",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ff4f0>","condition5","2023-08-07 09:09:41.348059","35669612430",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ff5b0>","condition4","2023-08-07 09:12:31.307638","62886518277",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ff670>","condition4","2023-08-07 09:22:04.309471","32730030415",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ff730>","condition2","2023-08-07 09:32:52.080340","44412410513",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ff7f0>","condition5","2023-08-07 09:33:56.289458","67150287479",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ff8b0>","condition1","2023-08-07 09:36:47.281283","79793431954",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ff970>","condition2","2023-08-07 10:28:29.424037","54727446974",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ffa30>","condition2","2023-08-07 11:45:13.246902","555",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ffaf0>","condition2","2023-08-07 11:47:42.918221","554",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ffbb0>","condition1","2023-08-07 11:51:30.680735","16224855741",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ffc70>","condition6","2023-08-07 11:56:41.871198","49010944776",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ffd30>","condition5","2023-08-07 12:05:00.596802","68524598949",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ffdf0>","condition3","2023-08-07 13:54:07.139980","28656698765",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10ffeb0>","condition3","2023-08-08 14:40:48.433881","471",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fff70>","condition2","2023-08-08 23:39:23.945057","461",
